Season,Region,County,CDC Week,Week Ending Date,Age Group,Case Count,Hospitalization Count,Coordinate,FIPS
2023-2024,CENTRAL,BROOME,49,12/09/2023,5-17,7,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,18-49,13,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,50-64,2,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,49,12/09/2023,65+,5,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,0-4,3,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,5-17,17,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,18-49,10,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,50-64,6,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,50,12/16/2023,65+,7,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,0-4,10,1,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,5-17,40,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,18-49,19,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,50-64,9,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,51,12/23/2023,65+,17,3,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,0-4,18,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,5-17,28,0,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,18-49,57,2,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,50-64,33,6,"(42.1619773, -75.830291)",36007
2023-2024,CENTRAL,BROOME,52,12/30/2023,65+,16,12,"(42.1619773, -75.830291)",36007
